prod_ID,cust_ID,comment_date,content
4619,6696,2023-12-08T17:13:07.026,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design"
7936,4778,2023-11-24T07:09:49.958,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive"
1859,5983,2023-11-06T15:21:37.874,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients
5920,3169,2023-10-14T04:57:44.470,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support
2539,2358,2022-09-23T21:53:35.858,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support
6755,4202,2022-09-20T15:48:58.412,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart
3289,640,2020-09-14T16:19:36.206,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive"
3278,4065,2021-09-14T04:19:44.751,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients
8604,3960,2022-09-08T15:38:43.142,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients
5553,6587,2021-08-31T10:41:08.000,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J"
1353,770,2020-08-11T03:22:13.576,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients
7942,4634,2021-08-05T19:19:35.519,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients
6668,451,2020-07-28T01:42:02.033,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit
8120,3299,2022-07-06T11:34:14.106,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals"
597,5337,2023-06-19T06:52:40.187,The Football Is Good For Training And Recreational Purposes
8330,4991,2021-05-30T23:38:43.072,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive"
8240,4050,2024-05-26T08:46:58.347,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support
4268,6782,2024-05-23T12:22:14.107,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit
3385,5973,2024-05-15T15:25:26.881,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016"
3591,3523,2024-05-12T16:10:21.041,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support
1579,6042,2024-05-11T22:23:19.246,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart
844,755,2024-05-09T09:05:13.863,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles"
2560,3488,2024-05-03T10:14:57.122,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J"
2205,490,2024-04-27T02:23:43.747,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016"
1145,2954,2024-04-18T21:49:13.900,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design"
3488,4212,2024-04-05T20:08:29.103,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016"
9179,704,2024-04-01T21:15:28.058,The Football Is Good For Training And Recreational Purposes
7850,5698,2024-04-01T19:31:01.902,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart
3383,648,2024-03-16T16:47:21.437,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive"
4359,860,2024-03-13T22:51:26.448,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support
7236,3300,2024-03-13T00:16:35.345,The Football Is Good For Training And Recreational Purposes
4125,506,2024-03-09T17:19:46.842,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients
993,6655,2024-03-08T07:58:31.525,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit
3086,6969,2024-03-06T21:32:42.394,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J"
6612,3147,2024-03-05T09:34:53.906,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J"
9748,846,2024-03-05T01:18:38.150,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles"
