category_ID,seller_ID,dis_ID,prod_name,description,price,picture
5,2280,2,Handmade Metal Salad,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,898,https://loremflickr.com/640/480/technics
31,324,5,Handmade Concrete Chips,The Football Is Good For Training And Recreational Purposes,622,https://loremflickr.com/640/480/city
1,1559,19,Elegant Cotton Table,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",701,https://loremflickr.com/640/480/business
24,615,45,Elegant Soft Chair,The Football Is Good For Training And Recreational Purposes,582,https://loremflickr.com/640/480/fashion
64,2729,5,Intelligent Plastic Chicken,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,623,https://loremflickr.com/640/480/business
54,1798,7,Small Cotton Cheese,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,655,https://loremflickr.com/640/480/transport
48,7,19,Tasty Steel Towels,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",517,https://loremflickr.com/640/480/sports
19,2151,13,Generic Cotton Fish,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",82,https://loremflickr.com/640/480/people
32,1562,24,Luxurious Frozen Shoes,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,514,https://loremflickr.com/640/480/animals
18,1878,23,Oriental Metal Car,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",293,https://loremflickr.com/640/480/food
12,377,29,Practical Wooden Towels,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",608,https://loremflickr.com/640/480/cats
31,1996,30,Refined Fresh Sausages,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",492,https://loremflickr.com/640/480/food
32,1363,13,Electronic Bronze Towels,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,101,https://loremflickr.com/640/480/abstract
20,2841,11,Recycled Plastic Chips,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",484,https://loremflickr.com/640/480/nature
52,1901,14,Licensed Soft Pizza,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,979,https://loremflickr.com/640/480/transport
1,414,36,Elegant Bronze Shirt,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",470,https://loremflickr.com/640/480/fashion
58,890,35,Intelligent Fresh Shirt,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",358,https://loremflickr.com/640/480/abstract
27,1826,45,Licensed Wooden Chicken,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,920,https://loremflickr.com/640/480/city
65,2943,18,Bespoke Cotton Ball,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",808,https://loremflickr.com/640/480/business
63,2722,46,Tasty Wooden Mouse,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",280,https://loremflickr.com/640/480/food
36,2712,32,Rustic Cotton Bacon,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,94,https://loremflickr.com/640/480/abstract
42,2756,10,Handcrafted Metal Computer,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,799,https://loremflickr.com/640/480/technics
45,1193,29,Licensed Plastic Bacon,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,885,https://loremflickr.com/640/480/nature
63,2822,31,Luxurious Granite Gloves,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,933,https://loremflickr.com/640/480/fashion
63,2254,39,Awesome Steel Shoes,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",984,https://loremflickr.com/640/480/animals
26,1291,40,Gorgeous Steel Chair,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,97,https://loremflickr.com/640/480/people
31,1026,19,Modern Fresh Shoes,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,836,https://loremflickr.com/640/480/sports
68,51,19,Generic Wooden Ball,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,194,https://loremflickr.com/640/480/sports
15,2470,10,Unbranded Concrete Gloves,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",662,https://loremflickr.com/640/480/abstract
30,519,4,Unbranded Soft Car,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,334,https://loremflickr.com/640/480/animals
36,2976,49,Gorgeous Cotton Shirt,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",272,https://loremflickr.com/640/480/transport
6,2397,2,Recycled Granite Soap,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",753,https://loremflickr.com/640/480/cats
65,320,18,Luxurious Bronze Car,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",919,https://loremflickr.com/640/480/technics
45,457,39,Practical Rubber Salad,The Football Is Good For Training And Recreational Purposes,606,https://loremflickr.com/640/480/city
62,2308,38,Incredible Plastic Mouse,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,451,https://loremflickr.com/640/480/city
23,502,42,Modern Granite Chicken,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",583,https://loremflickr.com/640/480/nature
9,522,1,Ergonomic Wooden Shirt,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,283,https://loremflickr.com/640/480/fashion
28,571,36,Sleek Rubber Chicken,The Football Is Good For Training And Recreational Purposes,58,https://loremflickr.com/640/480/sports
46,143,13,Awesome Wooden Sausages,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,299,https://loremflickr.com/640/480/business
19,2928,27,Elegant Soft Car,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,900,https://loremflickr.com/640/480/fashion
4,2313,18,Generic Wooden Soap,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,21,https://loremflickr.com/640/480/animals
19,1035,37,Handmade Soft Bike,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",275,https://loremflickr.com/640/480/cats
43,1598,14,Sleek Plastic Bike,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",590,https://loremflickr.com/640/480/sports
61,2835,35,Intelligent Frozen Keyboard,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,827,https://loremflickr.com/640/480/city
21,715,5,Recycled Steel Chicken,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,897,https://loremflickr.com/640/480/transport
30,312,22,Generic Soft Bacon,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",395,https://loremflickr.com/640/480/food
29,1391,34,Electronic Concrete Chicken,The Football Is Good For Training And Recreational Purposes,873,https://loremflickr.com/640/480/animals
55,2848,14,Handcrafted Steel Computer,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",196,https://loremflickr.com/640/480/abstract
67,2002,47,Luxurious Wooden Cheese,The Football Is Good For Training And Recreational Purposes,487,https://loremflickr.com/640/480/technics
31,1536,17,Handcrafted Plastic Chips,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,51,https://loremflickr.com/640/480/nature
17,2311,30,Refined Steel Cheese,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,88,https://loremflickr.com/640/480/animals
4,1824,42,Incredible Cotton Bacon,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",331,https://loremflickr.com/640/480/business
